,platform,priority,time,KMeans
39,495774036596,0,280837394966782681825915295437564806833460884020,4
40,495774036596,0,280837394966782681825915295437564806833460884021,4
41,495774036596,0,280837394966782681825915295437564806833460884021,4
42,495774036596,0,280837394966782681825915295437564806833460884022,4
43,495774036596,0,280837394966782681825915295437564806833460884022,4
44,495774036596,0,280837394966782681825915295437564806833460884023,4
45,495774036596,0,280837394966782681825915295437564806833460884023,4
46,495774036596,0,280837394966782681825915295437564806833460884024,4
47,495774036596,0,280837394966782681825915295437564806833460884024,4
48,495774036596,0,280837394966782681825915295437564806833460884025,4
49,495774036596,0,280837394966782681825915295437564806833460884025,4
50,495774036596,0,280837394966782681825915295437564806833460884272,4
51,495774036596,0,280837394966782681825915295437564806833460884272,4
52,495774036596,0,280837394966782681825915295437564806833460884273,4
53,495774036596,0,280837394966782681825915295437564806833460884273,4
54,495774036596,0,280837394966782681825915295437564806833460884274,4
55,495774036596,0,280837394966782681825915295437564806833460884274,4
56,495774036596,0,280837394966782681825915295437564806833460884275,4
57,495774036596,0,280837394966782681825915295437564806833460884275,4
58,495774036596,0,280837394966782681825915295437564806833460884276,4
59,495774036596,0,280837394966782681825915295437564806833460884276,4
60,495774036596,0,280837394966782681825915295437564806833460884277,4
61,495774036596,0,280837394966782681825915295437564806833460884277,4
62,495774036596,0,280837394966782681825915295437564806833460884278,4
63,495774036596,0,280837394966782681825915295437564806833460884278,4
64,495774036596,0,280837394966782681825915295437564806833460884279,4
65,495774036596,0,280837394966782681825915295437564806833460884279,4
66,495774036596,0,280837394966782681825915295437564806833460884280,4
67,495774036596,0,280837394966782681825915295437564806833460884280,4
68,495774036596,0,280837394966782681825915295437564806833460884281,4
69,495774036596,0,280837394966782681825915295437564806833460884281,4
70,495774036596,0,280837394966782681825915295437564806833460884528,4
71,495774036596,0,280837394966782681825915295437564806833460884528,4
72,495774036596,0,280837394966782681825915295437564806833460884529,4
73,495774036596,0,280837394966782681825915295437564806833460884529,4
74,495774036596,0,280837394966782681825915295437564806833460884530,4
75,495774036596,0,280837394966782681825915295437564806833460884530,4
76,495774036596,0,280837394966782681825915295437564806833460884532,4
77,495774036596,0,280837394966782681825915295437564806833460884532,4
78,495774036596,0,280837394966782681825915295437564806833460884533,4
79,495774036596,0,280837394966782681825915295437564806833460884533,4
80,495774036596,0,280837394966782681825915295437564806833460884534,4
81,495774036596,0,280837394966782681825915295437564806833460884534,4
82,495774036596,0,280837394966782681825915295437564806833460884535,4
83,495774036596,0,280837394966782681825915295437564806833460884535,4
84,495774036596,0,280837394966782681825915295437564806833460884536,4
85,495774036596,0,280837394966782681825915295437564806833460884536,4
86,495774036596,0,280837394966782681825915295437564806833460884537,4
87,495774036596,0,280837394966782681825915295437564806833460884537,4
88,495774036596,0,280837394966782681825915295437564806833460884784,4
89,495774036596,0,280837394966782681825915295437564806833460884784,4
90,495774036596,0,280837394966782681825915295437564806833460884785,4
91,495774036596,0,280837394966782681825915295437564806833460884785,4
92,495774036596,0,280837394966782681825915295437564806833460884786,4
93,495774036596,0,280837394966782681825915295437564806833460884786,4
94,495774036596,0,280837394966782681825915295437564806833460884787,4
95,495774036596,0,280837394966782681825915295437564806833460884787,4
96,495774036596,0,280837394966782681825915295437564806833460884788,4
97,495774036596,0,280837394966782681825915295437564806833460884788,4
98,495774036596,0,280837394966782681825915295437564806833460884789,4
99,495774036596,0,280837394966782681825915295437564806833460884789,4
100,495774036596,0,280837394966782681825915295437564806833460884790,4
101,495774036596,0,280837394966782681825915295437564806833460884790,4
102,495774036596,0,280837394966782681825915295437564806833460884791,4
103,495774036596,0,280837394966782681825915295437564806833460884791,4
104,495774036596,0,280837394966782681825915295437564806833460884792,4
105,495774036596,0,280837394966782681825915295437564806833460884792,4
106,495774036596,0,280837394966782681825915295437564806833460884793,4
107,495774036596,0,280837394966782681825915295437564806833460884793,4
